model_name,workflow,precision_fraud,recall_fraud,f1_fraud,roc_auc,tn,fp,fn,tp
Random Forest,No SMOTE,1.0,1.0,1.0,1.0,19974,0,0,26
AdaBoost,No SMOTE,0.9629629629629629,1.0,0.9811320754716981,0.9999980744198227,19973,1,0,26
Logistic Reg,No SMOTE,0.044722719141323794,0.9615384615384616,0.08547008547008547,0.9967053323166271,19440,534,1,25
KNN,No SMOTE,0.9444444444444444,0.6538461538461539,0.7727272727272727,0.9228169697529867,19973,1,9,17
