model_name,workflow,precision_fraud,recall_fraud,f1_fraud,roc_auc,tn,fp,fn,tp
Random Forest,SMOTE,1.0,1.0,1.0,1.0,19974,0,0,26
AdaBoost,SMOTE,0.9629629629629629,1.0,0.9811320754716981,0.9999730418775177,19973,1,0,26
Logistic Reg,SMOTE,0.04310344827586207,0.9615384615384616,0.08250825082508251,0.9962374163335412,19419,555,1,25
KNN,SMOTE,0.3333333333333333,0.8846153846153846,0.4842105263157895,0.9605737458696305,19928,46,3,23
